ScenActID,ActName,ActID,DoRel,DoExp,DidRel,DidExp,Volatile,NW_NS,NW_NWexp,NW_NSxNWexp,NW_Route,ActOrder,ScenarioID
2,"Equipment Cleaning Losses of Liquids from a Single, Large Vessel",28,-1,0,1,0,1,0,0,0,Inhalation and Dermal,3,99
3,Loading Liquid Product into Drums,5,0,0,0,0,1,0,0,0,Inhalation and Dermal,4,99
0,"Equipment Cleaning Losses of Liquids from a Single, Large Vessel",28,-1,0,1,0,1,0,0,0,Inhalation and Dermal,1,100
1,Loading Liquid Product into Drums,5,0,-1,0,1,1,8,39,312,Dermal,2,100
2,Unloading Solid Raw Material from Transport Containers,18,-1,-1,9,9,1,8,39,312,Inhalation and Dermal,3,100
3,Cleaning Solid/ Powder Residuals from Containers Used to Transport the Raw Material,26,-1,0,9,0,1,0,0,0,Inhalation and Dermal,4,100
0,Cleaning Liquid Residuals from Drums Used to Transport the Raw Material,21,-1,-1,1,1,1,8,39,312,Inhalation and Dermal,1,101
1,Unloading Liquid Raw Material from Drums,13,-1,0,1,0,1,0,0,0,Inhalation and Dermal,2,101
2,Vented Losses to Air During Process Operations,1,-1,0,1,0,1,0,0,0,Inhalation and Dermal,3,101
3,Open Surface Losses to Air During Product Sampling,1,-1,0,1,0,1,0,0,0,Inhalation and Dermal,4,101
4,"Equipment Cleaning Losses of Liquids from a Single, Large Vessel",28,-1,0,1,0,1,0,0,0,Inhalation and Dermal,5,101
5,Filter Media Changeout,72,-1,0,9,0,1,0,0,0,Inhalation and Dermal,6,101
6,Loading Liquid Product into Drums,5,-1,0,1,0,1,0,0,0,Inhalation and Dermal,7,101
0,Unloading Liquid Raw Material from Drums,13,0,-1,0,1,1,5,38,190,Dermal,1,102
1,Cleaning Liquid Residuals from Drums Used to Transport the Raw Material,21,-1,0,1,0,1,0,0,0,Inhalation and Dermal,2,102
2,Equipment Cleaning Losses of Liquids from Multiple Vessels,27,-1,0,1,0,1,0,0,0,Inhalation and Dermal,3,102
3,Filter Media Changeout,56,-1,0,1,0,1,0,0,0,Inhalation and Dermal,4,102
4,Loading Liquid Product into Drums,5,0,0,0,0,1,0,0,0,Inhalation and Dermal,5,102
5,Off-Spec Waste ,1,-1,0,1,0,1,0,0,0,Inhalation and Dermal,6,102
