ScenActID,ParmID,ParmValue,ParmType,ScenarioID
1,2,2.30000004e-01,0,92
1,3,5.00000000e+03,0,92
1,4,1.00000000e+00,0,92
1,5,1.00000000e+00,0,92
1,6,1.89250000e+04,0,92
1,7,1.09643340e+00,0,92
1,8,5.48216675e+02,0,92
1,9,2.50000000e+02,0,92
1,10,2.19286680e+00,0,92
1,11,4.35275000e+03,0,92
1,12,9.54500098e+03,0,92
1,13,4.15000039e+04,0,92
2,2,2.30000004e-01,0,92
2,9,2.50000000e+02,0,92
3,2,2.30000004e-01,0,92
3,9,2.50000000e+02,0,92
4,2,2.30000004e-01,0,92
4,9,2.50000000e+02,0,92
5,2,2.30000004e-01,0,92
5,9,2.50000000e+02,0,92
0,2,2.30000004e-01,0,93
0,9,2.50000000e+02,0,93
1,2,2.30000004e-01,0,93
1,9,2.50000000e+02,0,93
2,2,2.30000004e-01,0,93
2,9,2.50000000e+02,0,93
3,2,2.30000004e-01,0,93
3,9,2.50000000e+02,0,93
4,2,2.30000004e-01,0,93
4,3,5.50000000e+01,0,93
4,4,1.00000000e+00,0,93
4,5,1.00000000e+00,0,93
4,6,2.08179993e+02,0,93
4,8,4.98366797e+04,1,93
4,9,2.50000000e+02,1,93
4,10,1.99350006e+02,1,93
4,11,4.78814011e+01,0,93
4,12,9.54515723e+03,0,93
4,13,4.15006836e+04,0,93
5,2,2.30000004e-01,0,93
5,3,5.50000000e+01,0,93
5,4,1.00000000e+00,0,93
5,5,1.00000000e+00,0,93
5,6,2.08179993e+02,0,93
5,8,4.98366797e+04,1,93
5,9,2.50000000e+02,1,93
5,10,1.99350006e+02,1,93
5,11,4.78814011e+01,0,93
5,12,9.54515723e+03,0,93
5,13,4.15006836e+04,0,93
0,1,2.00000000e+00,0,94
0,2,1.00000001e-01,0,94
0,3,5.00000000e+03,0,94
0,4,1.00000000e+00,0,94
0,5,1.00000000e+00,0,94
0,6,1.89250000e+04,0,94
0,7,4.75561440e-01,0,94
0,8,2.37780716e+02,0,94
0,9,2.50000000e+02,0,94
0,10,9.51122880e-01,0,94
0,11,1.89250000e+03,0,94
0,12,1.80000012e+03,0,94
0,13,1.80000000e+04,0,94
1,1,2.00000000e+00,0,94
1,2,1.00000001e-01,0,94
1,3,5.00000000e+03,0,94
1,4,1.00000000e+00,0,94
1,5,1.00000000e+00,0,94
1,6,1.89250000e+04,0,94
1,7,4.75561440e-01,0,94
1,8,2.37780716e+02,0,94
1,9,2.50000000e+02,0,94
1,10,9.51122880e-01,0,94
1,11,1.89250000e+03,0,94
1,12,1.80000012e+03,0,94
1,13,1.80000000e+04,0,94
2,2,1.00000001e-01,0,94
2,9,2.50000000e+02,0,94
3,2,1.00000001e-01,0,94
3,9,2.50000000e+02,0,94
4,2,1.00000001e-01,0,94
4,9,2.50000000e+02,0,94
5,2,1.00000001e-01,0,94
5,9,2.50000000e+02,0,94
0,2,1.00000001e-01,0,95
0,9,2.50000000e+02,0,95
1,2,1.00000001e-01,0,95
1,9,2.50000000e+02,0,95
2,2,1.00000001e-01,0,95
2,9,2.50000000e+02,0,95
3,2,1.00000001e-01,0,95
3,9,2.50000000e+02,0,95
4,2,1.00000001e-01,0,95
4,3,5.50000000e+01,0,95
4,4,1.00000000e+00,0,95
4,5,1.00000000e+00,0,95
0,1,6.00000000e+01,0,114
0,2,2.50000000e-01,0,114
0,3,1.00000000e+00,0,114
0,4,1.00000000e+00,0,114
0,5,1.00000000e+00,0,114
0,6,3.78500009e+00,0,114
0,9,2.50000000e+02,0,114
0,11,9.46250021e-01,0,114
1,1,6.00000000e+01,0,114
1,2,2.50000000e-01,0,114
1,3,1.00000000e+00,0,114
1,4,1.00000000e+00,0,114
1,5,1.00000000e+00,0,114
1,6,3.78500009e+00,0,114
1,9,2.50000000e+02,0,114
1,11,9.46250021e-01,0,114
2,2,2.50000000e-01,0,114
2,9,2.50000000e+02,0,114
3,2,2.50000000e-01,0,114
3,9,2.50000000e+02,0,114
4,6,2.08179993e+02,0,95
4,8,2.16159102e+04,1,95
4,9,2.50000000e+02,1,95
4,10,8.64636002e+01,1,95
4,11,2.08179989e+01,0,95
4,12,1.79999915e+03,0,95
4,13,1.79999922e+04,0,95
5,2,1.00000001e-01,0,95
5,3,5.50000000e+01,0,95
5,4,1.00000000e+00,0,95
5,5,1.00000000e+00,0,95
5,6,2.08179993e+02,0,95
5,8,2.16159102e+04,1,95
5,9,2.50000000e+02,1,95
5,10,8.64636002e+01,1,95
5,11,2.08179989e+01,0,95
5,12,1.79999915e+03,0,95
5,13,1.79999922e+04,0,95
0,1,2.00000000e+01,0,96
0,2,1.00000000e+00,0,96
0,3,5.50000000e+01,0,96
0,4,1.00000000e+00,0,96
0,5,1.00000000e+00,0,96
0,6,2.08175003e+02,0,96
0,7,9.60730195e-01,0,96
0,8,7.01333057e+03,0,96
0,9,3.65000000e+02,0,96
0,10,1.92146034e+01,0,96
0,11,2.08175003e+02,0,96
0,12,4.00000024e+03,0,96
0,13,4.00000024e+03,0,96
1,1,2.00000000e+01,0,96
1,2,1.00000000e+00,0,96
1,3,5.50000000e+01,0,96
1,4,1.00000000e+00,0,96
